timestamp,config,rule_count,match_pos,dst_port,expected_verdict,pkt_size_bytes,target_pps,offered_pkts,pktgen_errors,pktgen_achieved_pps,pktgen_duration_us,forwarded_pkts,forwarded_loss_pct,repetition
20260904_130651,b2,10,best,80,accept,64,1000,10000,0,1000,9998118,7775,22.2500,1
20260904_130722,b2,10,best,80,accept,64,1000,10000,0,1000,9998207,10000,0.0000,2
20260904_130746,b2,10,best,80,accept,64,1000,10000,0,1000,9998195,10000,0.0000,3
20260904_130816,b2,10,best,80,accept,64,5000,50000,0,5000,9999713,50000,0.0000,1
20260904_130840,b2,10,best,80,accept,64,5000,50000,0,5000,9999719,50000,0.0000,2
20260904_130906,b2,10,best,80,accept,64,5000,50000,0,5000,9999692,50000,0.0000,3
20260904_130938,b2,10,best,80,accept,64,10000,100000,0,10000,9999878,100000,0.0000,1
20260904_131021,b2,10,best,80,accept,64,10000,100000,0,10000,9999838,100000,0.0000,2
20260904_131049,b2,10,best,80,accept,64,10000,100000,0,10000,9999829,100000,0.0000,3
20260904_131113,b2,10,best,80,accept,64,15000,150000,0,15000,9999892,150000,0.0000,1
20260904_131134,b2,10,best,80,accept,64,15000,150000,0,15000,9999867,150000,0.0000,2
20260904_131157,b2,10,best,80,accept,64,15000,150000,0,15000,9999797,150000,0.0000,3
20260904_131223,b2,10,best,80,accept,64,20000,200000,0,19999,10000055,200000,0.0000,1
20260904_131244,b2,10,best,80,accept,64,20000,200000,0,19999,10000071,200000,0.0000,2
20260904_131306,b2,10,best,80,accept,64,20000,200000,0,19999,10000087,200000,0.0000,3
20260904_131330,b2,10,best,80,accept,64,25000,250000,0,25000,9999973,250000,0.0000,1
20260904_131353,b2,10,best,80,accept,64,25000,250000,0,25000,9999948,250000,0.0000,2
20260904_131415,b2,10,best,80,accept,64,25000,250000,0,25000,9999944,250000,0.0000,3
20260904_131439,b2,10,best,80,accept,64,30000,300000,0,29999,10000015,300000,0.0000,1
20260904_131501,b2,10,best,80,accept,64,30000,300000,0,30000,9999879,300000,0.0000,2
20260904_131525,b2,10,best,80,accept,64,30000,300000,0,30000,9999882,300000,0.0000,3
20260904_131553,b2,10,best,80,accept,64,35000,350000,0,35000,9999855,350000,0.0000,1
20260904_131616,b2,10,best,80,accept,64,35000,350000,0,35000,9999855,350000,0.0000,2
20260904_131643,b2,10,best,80,accept,64,35000,350000,0,35000,9999826,350000,0.0000,3
20260904_131708,b2,10,best,80,accept,64,40000,400000,0,40000,9999969,400000,0.0000,1
20260904_131734,b2,10,best,80,accept,64,40000,400000,0,40000,9999982,400000,0.0000,2
20260904_131757,b2,10,best,80,accept,64,40000,400000,0,39999,10000104,400000,0.0000,3
20260904_131822,b2,10,best,80,accept,128,1000,10000,0,1000,9998207,10000,0.0000,1
20260904_131847,b2,10,best,80,accept,128,1000,10000,0,1000,9998216,10000,0.0000,2
