timestamp,config,match_pos,match_port,prog_name,rep,run_cnt,total_cycles,total_instructions,cycles_per_packet,instructions_per_packet,ipc
20260922,b2,best,80,firewall_compressed,1,437756,974122813,529805227,2224.87,1210.27,0.5441
20260922,b2,best,80,firewall_compressed,2,422156,970229339,510352602,2298.73,1208.77,0.5260
20260922,b2,best,80,firewall_compressed,3,421930,942353070,509737280,2233.06,1208.03,0.5409
20260922,b2,best,80,firewall_compressed,4,437697,969458643,527894506,2214.75,1206.08,0.5446
20260922,b2,best,80,firewall_compressed,5,422864,943780681,511174352,2232.28,1208.80,0.5416
20260922,b2,middle,5500,firewall_compressed,1,437731,963569417,529709668,2201.28,1210.13,0.5497
20260922,b2,middle,5500,firewall_compressed,2,437720,969473758,530438356,2214.83,1211.82,0.5471
20260922,b2,middle,5500,firewall_compressed,3,425053,934163878,515674886,2197.76,1213.20,0.5520
20260922,b2,middle,5500,firewall_compressed,4,437570,976934727,530278662,2232.64,1211.87,0.5428
20260922,b2,middle,5500,firewall_compressed,5,422183,932087498,510847434,2207.78,1210.01,0.5481
20260922,b2,worst,9900,firewall_compressed,1,437693,960983278,530051643,2195.56,1211.01,0.5516
20260922,b2,worst,9900,firewall_compressed,2,434685,936495005,525570901,2154.42,1209.08,0.5612
20260922,b2,worst,9900,firewall_compressed,3,425269,934993898,514193740,2198.59,1209.10,0.5499
20260922,b2,worst,9900,firewall_compressed,4,437733,974579130,527894506,2226.42,1205.97,0.5417
20260922,b2,worst,9900,firewall_compressed,5,425287,972735541,512788282,2287.24,1205.75,0.5272
20260922,b2,miss,9999,firewall_compressed,1,434552,905830102,524626412,2084.51,1207.28,0.5792
20260922,b2,miss,9999,firewall_compressed,2,429147,901479300,520382151,2100.63,1212.60,0.5773
20260922,b2,miss,9999,firewall_compressed,3,425271,898759529,515813885,2113.38,1212.91,0.5739
20260922,b2,miss,9999,firewall_compressed,4,434676,912124934,526331266,2098.40,1210.86,0.5770
20260922,b2,miss,9999,firewall_compressed,5,424757,902304685,511998607,2124.28,1205.39,0.5674
20260922,b1,best,80,chain_input,1,437800,1035457940,554498202,2365.14,1266.56,0.5355
20260922,b1,best,80,chain_input,2,434611,1029286155,549889534,2368.29,1265.25,0.5342
20260922,b1,best,80,chain_input,3,422253,998416382,534185919,2364.50,1265.08,0.5350
20260922,b1,best,80,chain_input,4,434394,973771826,550878727,2241.68,1268.15,0.5657
20260922,b1,best,80,chain_input,5,430101,1014994290,544000750,2359.90,1264.82,0.5360
20260922,b1,middle,5500,chain_input,1,437881,931406041,568980540,2127.08,1299.40,0.6109
20260922,b1,middle,5500,chain_input,2,437551,940330923,561439734,2149.08,1283.14,0.5971
20260922,b1,middle,5500,chain_input,3,425116,904175769,543706323,2126.89,1278.96,0.6013
20260922,b1,middle,5500,chain_input,4,437748,947364645,559735490,2164.18,1278.67,0.5908
20260922,b1,middle,5500,chain_input,5,427541,921783382,550164888,2156.01,1286.81,0.5968
20260922,b1,worst,9900,chain_input,1,438057,948222081,562146257,2164.61,1283.27,0.5928
20260922,b1,worst,9900,chain_input,2,437620,939619963,560693401,2147.11,1281.23,0.5967
20260922,b1,worst,9900,chain_input,3,425056,912476421,547076074,2146.72,1287.07,0.5996
20260922,b1,worst,9900,chain_input,4,437530,939669086,562798249,2147.67,1286.31,0.5989
20260922,b1,worst,9900,chain_input,5,439531,957257369,562230089,2177.91,1279.16,0.5873
20260922,b1,miss,9999,chain_input,1,437822,933469086,562824584,2132.07,1285.51,0.6029
20260922,b1,miss,9999,chain_input,2,437632,949603888,561847425,2169.87,1283.84,0.5917
20260922,b1,miss,9999,chain_input,3,421918,910688020,541876364,2158.45,1284.32,0.5950
20260922,b1,miss,9999,chain_input,4,437632,939317094,559667898,2146.36,1278.86,0.5958
20260922,b1,miss,9999,chain_input,5,434578,940597220,557828223,2164.39,1283.61,0.5931
