timestamp,config,pkt_size,duration_s,pps,mbps,cpu_pct
20260703_133946,bare,64,30,453036,231,26.5
20260703_134053,b2,64,30,414742,212,26.7
20260703_134335,bare,64,30,434373,222,26.5
20260703_134407,bare,64,30,442829,226,26.7
20260703_134723,b2,64,30,434274,222,26.6
20260703_134755,b2,64,30,409191,209,26.8
20260705_091254,b1,64,30,441377,225,26.4
20260705_092131,b1,64,30,428393,219,26.6
20260705_092204,b1,64,30,436736,223,26.6
20260705_114345,config_a,64,30,445093,227,26.5
20260710_000001,config_a,64,30,50715,25,0
20260710_000002,config_a,64,30,50508,25,0
20260710_000003,config_a,64,30,51196,26,0
20260710_000004,bare,64,30,51275,26,0
20260710_000005,bare,64,30,51532,26,0
20260710_000006,bare,64,30,53614,27,0
20260710_000007,b1,64,30,50828,26,0
20260710_000008,b1,64,30,51040,26,0
20260710_000009,b1,64,30,50757,25,0
20260710_000010,b2,64,30,49744,25,0
20260710_000011,b2,64,30,50515,25,0
20260710_000012,b2,64,30,50419,25,0
20260713_perf_bare,bare,64,30,51427,26,119
20260713_perf_b1,b1,64,30,50969,26,111
20260713_perf_b2,b2,64,30,51427,26,126
20260725_latency_bare,bare,ping,100,1.720,1.195,11.744,1.021
20260725_latency_config_a,config_a,ping,100,1.681,1.278,2.217,0.115
20260725_latency_b2,b2,ping,100,1.620,1.283,2.643,0.144
20260725_latency_b1,b1,ping,100,1.638,1.078,2.454,0.162
20260727_bare_udp10,bare,iperf3-tcp,30,2.21,0.15
20260727_config_a_10,config_a_stateless,iperf3-tcp,30,2.47,0.14
20260727_b2_10,b2,iperf3-tcp,30,2.50,0.13
20260727_b1_10,b1,iperf3-tcp,30,2.13,0.05
20260727_lat_bare,bare,ping,100,1.686,1.325,2.493,0.143
20260727_lat_config_a,config_a_stateless,ping,100,1.664,1.379,2.283,0.117
20260727_lat_b2,b2,ping,100,1.685,1.027,2.153,0.138
20260727_lat_b1,b1,ping,100,1.632,1.311,2.085,0.117
